id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000185551	1133.55036089867	1852.65343698004	414.4472848173	0.223704701885788	-2.160332515218	9.8780349098713e-15	1.41157118862061e-11
ENSG00000128965	171.610337653605	69.1445428012749	274.076132505935	3.96381437207046	1.98688940178676	1.12930308715236e-10	8.06887055770361e-08
ENSG00000128739	123.742965127761	48.4703182427844	199.015612012738	4.10592748774379	2.03770814912304	4.77544375341107e-10	2.27470304120814e-07
ENSG00000140465	644.359255972343	234.182592079203	1054.53591986548	4.50304999403555	2.17090249494531	2.02693768826092e-09	7.24123489131215e-07
ENSG00000140575	2120.24877141382	3127.82939552875	1112.66814729888	0.355731725294687	-1.49113845058515	2.3716183530837e-08	6.7780852531132e-06
ENSG00000166963	231.877465685127	130.037211556853	333.717719813401	2.56632479132712	1.35970376792742	2.05308243743984e-06	0.000488975800516922
ENSG00000136378	79.2681547756556	118.643223909669	39.8930856416426	0.336244113460841	-1.57241908388781	3.75641000786227e-05	0.00766844271605026
ENSG00000128872	310.473371093477	201.485192040532	419.461550146423	2.08184803011252	1.05786475922087	0.00017670705377794	0.0315642974810846
ENSG00000166173	145.0787649193	74.640915112308	215.516614726292	2.88737905211929	1.52976051551147	0.000431579369124549	0.0685252131643311
ENSG00000075131	303.867165573158	211.192521883275	396.541809263041	1.87763186748727	0.908914232847019	0.00086149262338312	0.111915723528589
ENSG00000166073	425.087033386985	296.010408826884	554.163657947086	1.87210868747247	0.904664194710719	0.000834126052318168	0.111915723528589
ENSG00000185115	269.481243093626	191.475159238196	347.487326949055	1.81479064089341	0.859803124658318	0.00115111183316806	0.117062990235383
ENSG00000138594	896.49580311426	640.239253964103	1152.75235226442	1.80050246080202	0.848399571305168	0.00122879275964363	0.117062990235383
ENSG00000137877	51.2235371220345	81.7452063018143	20.7018679422547	0.253248708747772	-1.98137318178567	0.00114243797651257	0.117062990235383
ENSG00000198535	24.877943576949	39.9085032637262	9.84738389017175	0.246749015494206	-2.01888376641424	0.00110477167150237	0.117062990235383
